customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
103,Ateliergraphique,Schmitt,Carine,4032255554,rueRoyale,NULL,Nantes,NULL,44000,France,1370,21000
112,SignalGiftStores,King,Jean,7025551838,8489StrongSt.,NULL,LasVegas,NV,83030,USA,1166,71800
114,AustralianCollectorsCo.,Ferguson,Peter,395204555,636StKildaRoad,Level3,Melbourne,Victoria,3004,Australia,1611,117300
119,LaRochelleGifts,Labrune,Janine,40.67.855567,ruedesCinquanteOtages,NULL,Nantes,NULL,44000,France,1370,118200
121,BaaneMiniImports,Bergulfsen,Jonas,07-989555,ErlingSkakkesgate78,NULL,Stavern,NULL,4110,Norway,1504,81700
124,MiniGiftsDistributorsLtd.,Nelson,Susan,4155551450,5677StrongSt.,NULL,SanRafael,CA,97562,USA,1165,210500
125,Havel&ZbyszekCo,Piestrzeniewicz,Zbyszek,(26)642-7555,ul.Filtrowa68,NULL,Warszawa,NULL,01-012,Poland,NULL,0
128,BlauerSeeAutoCo.,Keitel,Roland,4.96967E+11,Lyonerstr.34,NULL,Frankfurt,NULL,60528,Germany,1504,59700
129,MiniWheelsCo.,Murphy,Julie,6505555787,5557NorthPendaleStreet,NULL,SanFrancisco,CA,94217,USA,1165,64600
131,LandofToysInc.,Lee,Kwai,2125557818,897LongAirportAvenue,NULL,NYC,NY,10022,USA,1323,114900
141,Euro+ShoppingChannel,Freyre,Diego,(91)5559444,C/Moralzarzal86,NULL,Madrid,NULL,28034,Spain,1370,227600
144,VolvoModelReplicasCo,Berglund,Christina,0921-123555,Berguvsvägen8,NULL,Luleå,NULL,S-95822,Sweden,1504,53100
145,DanishWholesaleImports,Petersen,Jytte,31123555,Vinbæltet34,NULL,Kobenhavn,NULL,1734,Denmark,1401,83400
146,Saveley&HenriotCo.,Saveley,Mary,783255552,rueduCommerce,NULL,Lyon,NULL,69004,France,1337,123900
148,DragonSouveniersLtd.,Natividad,Eric,652217555,BronzSok.,BronzApt.3/6Tesvikiye,Singapore,NULL,79903,Singapore,1621,103800
151,MuscleMachineInc,Young,Jeff,2125557413,4092FurthCircle,Suite400,NYC,NY,10022,USA,1286,138500
157,DiecastClassicsInc.,Leong,Kelvin,2155551555,7586PomptonSt.,NULL,Allentown,PA,70267,USA,1216,100600
161,TechnicsStoresInc.,Hashimoto,Juri,6505556809,9408FurthCircle,NULL,Burlingame,CA,94217,USA,1165,84600
166,HandjiGifts&Co,Victorino,Wendy,652241555,106LindenRoadSandown,2ndFloor,Singapore,NULL,69045,Singapore,1612,97900
167,HerkkuGifts,Oeztan,Veysel,4722673215,BrehmenSt.121,PR334Sentrum,Bergen,NULL,N5804,Norway,1504,96800
168,AmericanSouvenirsInc,Franco,Keith,2035557845,149SpinnakerDr.,Suite101,NewHaven,CT,97823,USA,1286,0
169,PortoImportsCo.,deCastro,Isabel,(1)356-5555,Estradadasaúden.58,NULL,Lisboa,NULL,1756,Portugal,NULL,0
171,DaedalusDesignsImports,Rancé,Martine,20161555184,chausséedeTournai,NULL,Lille,NULL,59000,France,1370,82900
172,LaCorneD\abondanceCo.,Bertrand,Marie,(1)42342555265,boulevardCharonne,NULL,Paris,NULL,75012,France,1337,84300
173,CambridgeCollectablesCo.,Tseng,Jerry,6175555555,4658BadenAv.,NULL,Cambridge,MA,51247,USA,1188,43400
175,GiftDepotInc.,King,Julie,2035552570,25593SouthBayLn.,NULL,Bridgewater,CT,97562,USA,1323,84300
177,OsakaSouveniersCo.,Kentary,Mory,8.10663E+11,1-6-20Dojima,NULL,Kita-ku,Osaka,530-0003,Japan,1621,81200
181,VitachromeInc.,Frick,Michael,2125551500,2678KingstonRd.,Suite101,NYC,NY,10022,USA,1286,76400
186,ToysofFinlandCo.,Karttunen,Matti,90-2248555,Keskuskatu45,NULL,Helsinki,NULL,21240,Finland,1501,96500
187,AVStoresCo.,Ashworth,Rachel,(171)555-1555,FauntleroyCircus,NULL,Manchester,NULL,EC25NT,UK,1501,136800
189,CloverCollectionsCo.,Cassidy,Dean,35318621555,25MaidenLane,FloorNo.4,Dublin,NULL,2,Ireland,1504,69400
198,Auto-MotoClassicsInc.,Taylor,Leslie,6175558428,16780PomptonSt.,NULL,Brickhaven,MA,58339,USA,1216,23000
201,UKCollectablesLtd.,Devon,Elizabeth,(171)555-228212,BerkeleyGardensBlvd,NULL,Liverpool,NULL,WX16LT,UK,1501,92700
202,CanadianGiftExchangeNetwork,Tamuri,Yoshi,(604)555-3392,1900OakSt.,NULL,Vancouver,BC,V3F2K1,Canada,1323,90300
204,OnlineMiniCollectables,Barajas,Miguel,6175557555,7635SpinnakerDr.,NULL,Brickhaven,MA,58339,USA,1188,68700
205,Toys4GrownUps.com,Young,Julie,6265557265,78934HillsideDr.,NULL,Pasadena,CA,90003,USA,1166,90700
206,AsianShoppingNetworkCo,Walker,Brydey,61294111555,SuntecTowerThree,8Temasek,Singapore,NULL,38988,Singapore,NULL,0
209,MiniCaravy,Citeaux,Frédérique,8860155524,placeKléber,NULL,Strasbourg,NULL,67000,France,1370,53800
211,KingKongCollectablesCo.,Gao,Mike,85222511555,BankofChinaTower,1GardenRoad,CentralHongKong,NULL,NULL,HongKong,1621,58600
216,EnacoDistributors,Saavedra,Eduardo,(93)2034555,RambladeCataluña23,NULL,Barcelona,NULL,8022,Spain,1702,60300
219,Boards&ToysCo.,Young,Mary,3105552373,4097DouglasAv.,NULL,Glendale,CA,92561,USA,1166,11000
223,NatürlichAutos,Kloss,Horst,0372-555188,Taucherstraße10,NULL,Cunewalde,NULL,1307,Germany,NULL,0
227,HeintzeCollectables,Ibsen,Palle,86213555,Smagsloget45,NULL,Århus,NULL,8200,Denmark,1401,120800
233,QuébecHomeShoppingNetwork,Fresnière,Jean,(514)555-8054,43rueSt.Laurent,NULL,Montréal,Québec,H1J1C3,Canada,1286,48700
237,ANGResellers,Camino,Alejandra,(91)7456555,GranVía1,NULL,Madrid,NULL,28001,Spain,NULL,0
239,CollectableMiniDesignsCo.,Thompson,Valarie,7605558146,361FurthCircle,NULL,SanDiego,CA,91217,USA,1166,105000
240,giftsbymail.co.uk,Bennett,Helen,(198)555-8888,GardenHouse,CrowtherWay23,Cowes,IsleofWight,PO317PJ,UK,1501,93900
242,AlphaCognac,Roulet,Annette,61.77.6555,1rueAlsace-Lorraine,NULL,Toulouse,NULL,31000,France,1370,61100
247,MessnerShoppingNetwork,Messner,Renate,069-0555984,Magazinweg7,NULL,Frankfurt,NULL,60528,Germany,NULL,0
249,AmicaModels&Co.,Accorti,Paolo,011-4988555,ViaMonteBianco34,NULL,Torino,NULL,10100,Italy,1401,113000
250,LyonSouveniers,DaSilva,Daniel,33146627555,27rueduColonelPierreAvia,NULL,Paris,NULL,75508,France,1337,68100
256,AutoAssociés&Cie.,Tonini,Daniel,3059855567,avenuedel\Europe,NULL,Versailles,NULL,78000,France,1370,77900
259,TomsSpezialitätenLtd,Pfalzheim,Henriette,0221-5554327,Mehrheimerstr.369,NULL,Köln,NULL,50739,Germany,1504,120400
260,RoyalCanadianCollectablesLtd.,Lincoln,Elizabeth,(604)555-4555,23TsawassenBlvd.,NULL,Tsawassen,BC,T2F8M4,Canada,1323,89600
273,FrankenGiftsCo,Franken,Peter,089-0877555,BerlinerPlatz43,NULL,München,NULL,80805,Germany,NULL,0
276,Anna\sDecorationsLtd,O\Hara,Anna,299368555,201MillerStreet,Level15,NorthSydney,NSW,2060,Australia,1611,107800
278,RovelliGifts,Rovelli,Giovanni,035-640555,ViaLudovicoilMoro22,NULL,Bergamo,NULL,24100,Italy,1401,119600
282,SouveniersAndThingsCo.,Huxley,Adrian,61294958555,MonitorMoneyBuilding,815PacificHwy,Chatswood,NSW,2067,Australia,1611,93300
286,Marta\sReplicasCo.,Hernandez,Marta,6175558555,39323SpinnakerDr.,NULL,Cambridge,MA,51247,USA,1216,123700
293,BG&ECollectables,Harrison,Ed,41264255001,RtedesArsenaux41,NULL,Fribourg,NULL,1700,Switzerland,NULL,0
298,VidaSportLtd,Holz,Mihael,0897-034555,Grenzacherweg237,NULL,Genève,NULL,1203,Switzerland,1702,141300
299,NorwayGiftsByMailCo.,Klaeboe,Jan,4722121555,Drammensveien126A,PB211Sentrum,Oslo,NULL,N0106,Norway,1504,95100
303,SchuylerImports,Schuyler,Bradley,31204919555,Kingsfordweg151,NULL,Amsterdam,NULL,1043GR,Netherlands,NULL,0
307,DerHundImports,Andersen,Mel,030-0074555,ObereStr.57,NULL,Berlin,NULL,12209,Germany,NULL,0
311,OuluToySuppliesInc.,Koskitalo,Pirkko,981-443655,Torikatu38,NULL,Oulu,NULL,90110,Finland,1501,90500
314,PetitAuto,Dewey,Catherine,(02)555467,RueJoseph-Bens532,NULL,Bruxelles,NULL,B-1180,Belgium,1401,79900
319,MiniClassics,Frick,Steve,9145554562,3758NorthPendaleStreet,NULL,WhitePlains,NY,24067,USA,1323,102700
320,MiniCreationsLtd.,Huang,Wing,5085559555,4575HillsideDr.,NULL,NewBedford,MA,50553,USA,1188,94500
321,CorporateGiftIdeasCo.,Brown,Julie,6505551386,7734StrongSt.,NULL,SanFrancisco,CA,94217,USA,1165,105000
323,DownUnderSouveniersInc,Graham,Mike,6493125555,162-164GraftonRoad,Level2,Auckland,NULL,NULL,NewZealand,1612,88000
324,StylishDeskDecorsCo.,Brown,Ann,(171)555-0297,35KingGeorge,NULL,London,NULL,WX36FW,UK,1501,77000
